$ /usr/bin/docker logs openriak-kv-3.4.0-ubuntu-noble-otp24-node-3-t-628945z
started: 2026-09-11T13:44:41Z
2026-09-11T21:52:40+09:00 [openriak-entrypoint] configuration: timezone = Asia/Tokyo
usermod: no changes
2026-09-11T21:52:42+09:00 [openriak-entrypoint] configuration: riak UID/GID = 19001/19002
2026-09-11T21:52:42+09:00 [openriak-entrypoint] configuration: preparing mounted directories
2026-09-11T21:52:42+09:00 [openriak-entrypoint] configuration: seeding /etc/riak from packaged defaults
2026-09-11T21:52:42+09:00 [openriak-entrypoint] configuration: current Docker IPv4 address = 172.19.0.3
2026-09-11T21:52:43+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:44+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:45+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:46+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:47+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:48+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:50+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:51+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:52+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:53+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:54+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:55+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:56+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:58+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:52:59+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:00+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:01+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:02+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:03+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:04+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
2026-09-11T21:53:05+09:00 [openriak-entrypoint] configuration: waiting for coordinator cookie before daemon startup
